12168 //  10-Yard Fight //  $6.15 //  $31.49 //  $435.55 // 
9842 //  Star Trek 25th Anniversary //  $13.63 //  $26.24 //  $76.17 // 
9847 //  Star Trek The Next Generation //  $26.79 //  $48.00 //  $132.02 // 
9848 //  Star Tropics //  $9.09 //  $31.20 //  $80.97 // 
10238 //  "Star Tropics II: Zodas Revenge" //  $12.24 //  $28.97 //  $69.99 // 
12440 //  Star Voyager //  $4.72 //  $17.17 //  $70.22 // 
38031 //  Star Voyager [5 Screw] //  $6.39 //  $24.99 //  $61.84 // 
9849 //  Star Wars //  $19.49 //  $37.27 //  $43.55 // 
9857 //  Star Wars The Empire Strikes Back //  $27.91 //  $44.99 //  $55.31 // 
68878 //  Star Wars The Empire Strikes Back [Classic Edition] //   //   //   // 
59746 //  Star Wars [Classic Edition] //  $8.96 //  $24.19 //  $89.99 // 
60614 //  Star Wars [Premium Edition] //  $8.90 //  $23.13 //  $73.91 // 
12441 //  Starship Hector //  $13.23 //  $31.47 //  $108.51 // 
18720 //  Stealth //  $3.40 //  $14.95 //  $149.99 // 
12443 //  Stinger //  $11.67 //  $80.06 //  $151.11 // 
12444 //  Street Cop //  $23.66 //  $52.54 //  $74.99 // 
12445 //  Street Fighter 2010 the Final Fight //  $10.00 //  $31.54 //  $252.62 // 
12446 //  Strider //  $9.97 //  $30.71 //  $99.00 // 
12447 //  Stunt Kids //  $30.59 //  $67.66 //  $102.13 // 
19476 //  Sunday Funday //  $174.99 //  $194.42 //  $210.01 // 
9883 //  Super C //  $14.50 //  $49.22 //  $296.69 // 
68663 //  Super C [5 Screw] //   //   //   // 
12448 //  Super Cars //  $23.16 //  $45.71 //  $150.00 // 
12449 //  Super Dodge Ball //  $12.11 //  $36.66 //  $100.00 // 
12450 //  Super Glove Ball //  $4.24 //  $19.99 //  $41.27 // 
67556 //  Super Mario 3 [Challenge Set] //  $25.54 //  $39.00 //  $282.50 // 
9889 //  Super Mario Bros //  $9.12 //  $50.79 //  $389.81 // 
12010 //  Super Mario Bros 2 //  $14.00 //  $35.03 //  $1152.79 // 
9891 //  Super Mario Bros 3 //  $11.99 //  $39.99 //  $354.94 // 
12452 //  Super Mario Bros Duck Hunt World Class Track Meet //  $5.68 //  $12.78 //  $25.92 // 
37981 //  Super Mario Bros [5 Screw] //  $10.99 //  $105.51 //  $306.00 // 
12451 //  Super Mario Bros and Duck Hunt //  $4.70 //  $14.95 //  $24.74 // 
12453 //  Super Off Road //  $7.98 //  $17.47 //  $64.82 // 
12454 //  Super Pitfall //  $7.95 //  $25.37 //  $187.89 // 
38043 //  Super Pitfall [5 Screw] //  $23.39 //  $66.37 //  $212.38 // 
61459 //  Super Russian Roulette [Homebrew] //   //   //   // 
9898 //  Super Spike Volleyball //  $2.97 //  $18.41 //  $69.88 // 
12455 //  Super Spike Volleyball and World Cup Soccer //  $5.93 //  $7.85 //  $47.89 // 
12456 //  Super Sprint //  $7.47 //  $17.24 //  $57.56 // 
9899 //  Super Spy Hunter //  $27.49 //  $97.31 //  $204.40 // 
12457 //  Super Team Games //  $5.00 //  $15.08 //  $45.00 // 
12458 //  Superman //  $13.46 //  $40.94 //  $227.51 // 
9913 //  Swamp Thing //  $97.72 //  $276.65 //  $584.15 // 
19306 //  Sword Master //  $183.73 //  $285.52 //  $594.27 // 
12459 //  Swords and Serpents //  $8.00 //  $17.18 //  $71.01 // 
12462 //  Taboo the Sixth Sense //  $5.94 //  $15.55 //  $29.99 // 
12463 //  Tag Team Wrestling //  $3.61 //  $25.49 //  $72.76 // 
37994 //  Tag Team Wrestling [5 Screw] //  $5.42 //  $25.02 //  $80.06 // 
30846 //  "Tagin Dragon" //  $38.56 //  $82.03 //  $232.52 // 
12162 //  TaleSpin //  $11.90 //  $45.50 //  $243.55 // 
12465 //  Talking Super Jeopardy //  $5.31 //  $11.10 //  $34.69 // 
12466 //  Target Renegade //  $5.59 //  $25.00 //  $66.79 // 
12467 //  Tecmo Baseball //  $4.87 //  $13.99 //  $47.50 // 
9929 //  Tecmo Bowl //  $6.53 //  $19.15 //  $313.20 // 
9930 //  Tecmo Cup Soccer //  $50.00 //  $108.35 //  $251.70 // 
9931 //  Tecmo NBA Basketball //  $8.46 //  $13.60 //  $90.01 // 
9934 //  Tecmo Super Bowl //  $14.95 //  $30.01 //  $157.72 // 
9938 //  Tecmo World Wrestling //  $4.99 //  $25.05 //  $106.80 // 
9941 //  Teenage Mutant Ninja Turtles //  $6.35 //  $24.44 //  $280.77 // 
12468 //  Teenage Mutant Ninja Turtles II //  $11.00 //  $49.66 //  $277.58 // 
9942 //  Teenage Mutant Ninja Turtles III The Manhattan Project //  $21.96 //  $109.73 //  $339.89 // 
9944 //  Teenage Mutant Ninja Turtles Tournament Fighters //  $121.25 //  $399.99 //  $1279.97 // 
12011 //  Tennis //  $10.47 //  $39.89 //  $799.99 // 
37982 //  Tennis [5 Screw] //  $9.99 //  $34.69 //  $83.58 // 
9951 //  Terminator //  $19.25 //  $53.97 //  $172.42 // 
9953 //  Terminator 2 Judgment Day //  $6.45 //  $27.26 //  $121.51 // 
12469 //  Terra Cresta //  $31.10 //  $67.95 //  $143.54 // 
9964 //  Tetris //  $7.97 //  $17.99 //  $226.76 // 
9966 //  Tetris 2 //  $6.51 //  $14.62 //  $68.66 // 
12595 //  Tetris [Tengen] //  $60.75 //  $127.00 //  $394.04 // 
8471 //  The Adventures of Rocky and Bullwinkle and Friends //  $13.31 //  $31.20 //  $86.73 // 
12471 //  The Goonies II //  $7.03 //  $29.99 //  $106.93 // 
38040 //  The Goonies II [5 Screw] //  $21.99 //  $59.37 //  $182.52 // 
12472 //  The Guardian Legend //  $12.02 //  $49.99 //  $150.12 // 
9990 //  The Jungle Book //  $21.00 //  $68.00 //  $399.00 // 
12474 //  The Karate Kid //  $5.73 //  $34.85 //  $291.79 // 
12475 //  The Last Ninja //  $17.93 //  $46.72 //  $165.97 // 
12477 //  The Mafat Conspiracy //  $8.97 //  $24.22 //  $61.12 // 
12478 //  The Magic of Scheherazade //  $9.99 //  $42.83 //  $129.99 // 
9997 //  The Punisher //  $15.99 //  $59.99 //  $179.99 // 
9648 //  The Ren and Stimpy Show Buckeroos //  $16.11 //  $51.46 //  $149.99 // 
9677 //  The Rocketeer //  $7.65 //  $25.99 //  $89.99 // 
12479 //  The Simpsons Bart vs the Space Mutants //  $7.42 //  $23.62 //  $138.97 // 
12197 //  The Simpsons Bart vs the World //  $9.38 //  $24.65 //  $239.65 // 
9751 //  The Simpsons Bartman Meets Radioactive Man //  $15.71 //  $60.00 //  $192.49 // 
12480 //  The Three Stooges //  $7.30 //  $26.00 //  $123.23 // 
12482 //  The Uncanny X-Men //  $8.84 //  $42.75 //  $100.00 // 
10096 //  The Untouchables //  $15.42 //  $30.99 //  $89.99 // 
12484 //  Thunder and Lightning //  $11.14 //  $33.01 //  $162.50 // 
12485 //  Thunderbirds //  $11.85 //  $33.81 //  $125.04 // 
12486 //  Thundercade //  $5.99 //  $21.22 //  $75.46 // 
12487 //  Tiger-Heli //  $5.00 //  $17.49 //  $78.94 // 
38033 //  Tiger-Heli [5 Screw] //  $15.50 //  $29.70 //  $95.04 // 
12488 //  Tiles of Fate //  $15.73 //  $28.01 //  $67.91 // 
12489 //  Time Lord //  $5.54 //  $20.89 //  $51.05 // 
10020 //  Times of Lore //  $48.23 //  $128.46 //  $335.49 // 
10021 //  Tiny Toon Adventures //  $10.36 //  $33.99 //  $118.48 // 
10022 //  Tiny Toon Adventures 2 Trouble in Wackyland //  $11.72 //  $38.98 //  $128.50 // 
10024 //  Tiny Toon Adventures Cartoon Workshop //  $13.31 //  $29.95 //  $50.16 // 
12490 //  To the Earth //  $5.23 //  $13.29 //  $47.30 // 
12491 //  Toki //  $46.00 //  $88.49 //  $299.00 // 
10035 //  Tom and Jerry //  $9.95 //  $23.28 //  $125.81 // 
12492 //  Tombs and Treasure //  $17.94 //  $47.88 //  $153.11 // 
12493 //  "Toobin" //  $17.25 //  $19.99 //  $95.86 // 
12494 //  Top Gun //  $4.81 //  $20.07 //  $124.28 // 
10052 //  Top Gun The Second Mission //  $4.25 //  $14.64 //  $74.95 // 
38044 //  Top Gun [5 Screw] //  $6.87 //  $19.50 //  $62.40 // 
13883 //  Top Loading Nintendo NES Console //  $106.36 //  $277.43 //  $511.12 // 
12495 //  Top Players Tennis //  $4.00 //  $13.95 //  $39.38 // 
10053 //  Total Recall //  $6.92 //  $20.74 //  $89.50 // 
12496 //  Totally Rad //  $17.45 //  $43.03 //  $179.99 // 
12497 //  Touchdown Fever //  $15.36 //  $30.00 //  $112.44 // 
12483 //  "Town & Country II: Thrillas Surfari" //  $18.26 //  $62.95 //  $93.03 // 
12461 //  Town & Country Surf Designs: Wood and Water Rage //  $4.28 //  $19.99 //  $125.00 // 
10056 //  Toxic Crusaders //  $47.17 //  $147.94 //  $373.50 // 
12498 //  Track and Field //  $5.95 //  $24.12 //  $47.31 // 
12499 //  Track and Field II //  $5.07 //  $16.77 //  $53.66 // 
38005 //  Track and Field [5 Screw] //  $8.82 //  $59.95 //  $79.02 // 
10064 //  Treasure Master //  $12.54 //  $34.96 //  $152.49 // 
10068 //  Trog //  $12.49 //  $35.00 //  $106.46 // 
12500 //  Trojan //  $5.67 //  $40.96 //  $62.74 // 
38000 //  Trojan [5 Screw] //  $7.02 //  $47.21 //  $83.04 // 
12501 //  Trolls on Treasure Island //  $19.36 //  $56.57 //  $181.02 // 
12502 //  Twin Cobra //  $10.49 //  $29.94 //  $100.07 // 
67650 //  Twin Dragons //   //   //   // 
12503 //  Twin Eagle //  $8.52 //  $17.25 //  $50.45 // 
54274 //  UForce //  $19.49 //  $55.00 //  $161.79 // 
12504 //  Ultima Exodus //  $10.30 //  $24.40 //  $153.77 // 
12505 //  Ultima Quest of the Avatar //  $11.23 //  $29.99 //  $260.90 // 
10080 //  Ultima Warriors of Destiny //  $57.09 //  $111.99 //  $358.39 // 
10081 //  Ultimate Air Combat //  $29.23 //  $46.49 //  $119.99 // 
12506 //  Ultimate Basketball //  $5.64 //  $13.86 //  $44.28 // 
12507 //  Ultimate League Soccer //  $19.27 //  $63.51 //  $177.50 // 
12481 //  Ultimate Stuntman //  $10.00 //  $20.46 //  $53.59 // 
10090 //  Uncharted Waters //  $47.76 //  $99.99 //  $198.19 // 
10091 //  Uninvited //  $40.78 //  $79.13 //  $233.50 // 
12012 //  Urban Champion //  $9.73 //  $107.50 //  $433.00 // 
37989 //  Urban Champion [5 Screw] //  $9.81 //  $124.36 //  $124.97 // 
12508 //  Vegas Dream //  $5.00 //  $12.99 //  $52.15 // 
12509 //  Venice Beach Volleyball //  $10.00 //  $33.74 //  $69.50 // 
12510 //  Vice Project Doom //  $38.25 //  $97.48 //  $241.77 // 
10105 //  Videomation //  $8.51 //  $30.69 //  $66.79 // 
12511 //  Vindicators //  $6.22 //  $20.02 //  $39.99 // 
12013 //  Volleyball //  $9.95 //  $111.15 //  $447.13 // 
38003 //  Volleyball [5 Screw] //  $9.00 //  $101.60 //  $149.80 // 
12512 //  WCW World Championship Wrestling //  $8.50 //  $31.34 //  $259.24 // 
10214 //  WWF King of the Ring //  $13.99 //  $46.11 //  $162.50 // 
10221 //  WWF Wrestlemania //  $3.21 //  $24.19 //  $304.63 // 
13833 //  WWF Wrestlemania Challenge //  $6.24 //  $23.99 //  $75.65 // 
10218 //  WWF Wrestlemania Steel Cage Challenge //  $7.83 //  $26.35 //  $63.50 // 
10132 //  Wacky Races //  $180.00 //  $394.88 //  $844.60 // 
10133 //  Wall Street Kid //  $7.91 //  $20.50 //  $67.00 // 
12513 //  Wally Bear and the No Gang //  $40.59 //  $89.99 //  $228.85 // 
10138 //  "Warios Woods" //  $23.24 //  $40.50 //  $99.53 // 
12514 //  Wayne Gretzky Hockey //  $7.12 //  $14.55 //  $74.69 // 
10146 //  "Waynes World" //  $107.94 //  $314.69 //  $772.82 // 
12515 //  Werewolf //  $11.95 //  $35.50 //  $112.57 // 
12517 //  Wheel of Fortune //  $1.94 //  $11.71 //  $50.63 // 
12516 //  Wheel of Fortune Family Edition //  $4.81 //  $9.99 //  $34.26 // 
10149 //  Wheel of Fortune Featuring Vanna White //  $8.00 //  $13.85 //  $56.37 // 
12518 //  Wheel of Fortune Junior Edition //  $4.12 //  $11.14 //  $85.96 // 
10152 //  Where in Time is Carmen Sandiego //  $7.53 //  $23.98 //  $71.00 // 
12519 //  "Wheres Waldo" //  $7.87 //  $24.99 //  $61.11 // 
12520 //  Who Framed Roger Rabbit //  $8.99 //  $25.99 //  $230.51 // 
12521 //  "Whomp Em" //  $35.50 //  $84.06 //  $292.82 // 
10154 //  Widget //  $38.24 //  $111.34 //  $294.85 // 
12522 //  Wild Gunman //  $19.98 //  $74.22 //  $182.19 // 
37974 //  Wild Gunman [5 Screw] //  $16.61 //  $132.49 //  $154.08 // 
12523 //  Willow //  $11.35 //  $37.00 //  $151.67 // 
12524 //  Win Lose or Draw //  $4.38 //  $12.55 //  $31.19 // 
12525 //  Winter Games //  $5.00 //  $15.40 //  $41.07 // 
38034 //  Winter Games [5 Screw] //  $7.21 //  $29.99 //  $60.92 // 
10166 //  Wizardry: Knight of Diamonds Second Scenario //  $23.41 //  $44.23 //  $179.93 // 
19592 //  Wizardry: Proving Grounds of the Mad Overlord //  $10.35 //  $32.50 //  $134.99 // 
12528 //  Wizards and Warriors //  $7.96 //  $22.49 //  $241.43 // 
10167 //  Wizards and Warriors III Kuros Visions of Power //  $19.50 //  $45.32 //  $140.43 // 
38046 //  Wizards and Warriors [5 Screw] //  $9.40 //  $27.49 //  $80.51 // 
10169 //  Wolverine //  $14.18 //  $71.69 //  $218.90 // 
10172 //  World Champ //  $28.58 //  $80.09 //  $166.60 // 
12530 //  World Class Track Meet //  $4.49 //  $10.46 //  $33.31 // 
12532 //  World Games //  $5.78 //  $16.18 //  $59.40 // 
12533 //  Wrath of the Black Manta //  $4.81 //  $18.83 //  $52.08 // 
12014 //  Wrecking Crew //  $13.78 //  $91.50 //  $733.33 // 
37975 //  Wrecking Crew [5 Screw] //  $13.70 //  $99.99 //  $163.87 // 
10208 //  Wurm Journey to the Center of the Earth //  $24.53 //  $46.25 //  $89.99 // 
12534 //  Xenophobe //  $5.97 //  $15.54 //  $54.36 // 
12015 //  Xevious //  $3.78 //  $17.99 //  $65.00 // 
12535 //  Xexyz //  $11.41 //  $38.49 //  $114.24 // 
12536 //  Yo Noid //  $11.91 //  $42.48 //  $221.23 // 
10228 //  Yoshi //  $7.51 //  $14.99 //  $62.00 // 
10229 //  "Yoshis Cookie" //  $9.10 //  $18.86 //  $149.95 // 
10230 //  Young Indiana Jones Chronicles //  $51.32 //  $84.15 //  $125.00 // 
12016 //  Zanac //  $11.84 //  $40.00 //  $121.47 // 
38038 //  Zanac [5 Screw] //  $19.99 //  $55.00 //  $176.00 // 
13716 //  Zapper Light Gun //  $11.00 //  $37.31 //  $91.36 // 
10234 //  Zelda II The Adventure of Link //  $13.37 //  $50.00 //  $405.62 // 
38510 //  Zelda II The Adventure of Link [Gray Cart] //  $13.81 //  $54.91 //  $222.76 // 
20786 //  Zelda Test Cartridge //  $1305.96 //   //   // 
10236 //  Zen Intergalactic Ninja //  $75.00 //  $179.99 //  $756.01 // 
10239 //  Zombie Nation //  $292.88 //  $575.02 //  $1496.88 // 
