12168 //  10-Yard Fight //  $6.42 //  $30.49 //  $435.52 // 
9842 //  Star Trek 25th Anniversary //  $14.17 //  $25.49 //  $76.16 // 
9847 //  Star Trek The Next Generation //  $26.79 //  $49.03 //  $132.02 // 
9848 //  Star Tropics //  $9.09 //  $31.20 //  $80.97 // 
10238 //  "Star Tropics II: Zodas Revenge" //  $12.24 //  $28.97 //  $69.99 // 
12440 //  Star Voyager //  $4.72 //  $17.17 //  $70.36 // 
38031 //  Star Voyager [5 Screw] //  $6.39 //  $24.99 //  $61.84 // 
9849 //  Star Wars //  $14.99 //  $36.97 //  $46.44 // 
9857 //  Star Wars The Empire Strikes Back //  $27.91 //  $44.99 //  $55.31 // 
68878 //  Star Wars The Empire Strikes Back [Classic Edition] //   //   //   // 
59746 //  Star Wars [Classic Edition] //  $8.96 //  $24.19 //  $89.99 // 
60614 //  Star Wars [Premium Edition] //  $8.90 //  $23.13 //  $73.91 // 
12441 //  Starship Hector //  $13.23 //  $31.47 //  $108.51 // 
18720 //  Stealth //  $3.89 //  $16.49 //  $149.99 // 
12443 //  Stinger //  $11.67 //  $79.81 //  $151.11 // 
12444 //  Street Cop //  $24.74 //  $52.54 //  $74.99 // 
12445 //  Street Fighter 2010 the Final Fight //  $10.00 //  $31.56 //  $259.31 // 
12446 //  Strider //  $10.02 //  $36.38 //  $99.00 // 
12447 //  Stunt Kids //  $30.69 //  $67.97 //  $102.19 // 
19476 //  Sunday Funday //  $174.99 //  $194.36 //  $210.01 // 
9883 //  Super C //  $14.97 //  $49.22 //  $296.58 // 
68663 //  Super C [5 Screw] //   //   //   // 
12448 //  Super Cars //  $23.35 //  $45.71 //  $150.00 // 
12449 //  Super Dodge Ball //  $12.14 //  $36.66 //  $100.00 // 
12450 //  Super Glove Ball //  $4.24 //  $19.99 //  $41.27 // 
67556 //  Super Mario 3 [Challenge Set] //  $25.54 //  $39.00 //  $270.61 // 
9889 //  Super Mario Bros //  $9.98 //  $43.90 //  $380.92 // 
12010 //  Super Mario Bros 2 //  $14.00 //  $35.03 //  $1152.79 // 
9891 //  Super Mario Bros 3 //  $12.87 //  $39.99 //  $354.94 // 
12452 //  Super Mario Bros Duck Hunt World Class Track Meet //  $5.69 //  $11.50 //  $25.92 // 
37981 //  Super Mario Bros [5 Screw] //  $10.99 //  $105.51 //  $306.00 // 
12451 //  Super Mario Bros and Duck Hunt //  $4.70 //  $14.95 //  $24.74 // 
12453 //  Super Off Road //  $7.64 //  $17.47 //  $64.82 // 
12454 //  Super Pitfall //  $7.34 //  $25.37 //  $188.92 // 
38043 //  Super Pitfall [5 Screw] //  $23.39 //  $66.37 //  $212.38 // 
61459 //  Super Russian Roulette [Homebrew] //   //   //   // 
9898 //  Super Spike Volleyball //  $2.62 //  $18.41 //  $69.94 // 
12455 //  Super Spike Volleyball and World Cup Soccer //  $5.93 //  $7.85 //  $47.89 // 
12456 //  Super Sprint //  $7.47 //  $17.24 //  $57.56 // 
9899 //  Super Spy Hunter //  $29.14 //  $87.93 //  $204.44 // 
12457 //  Super Team Games //  $5.07 //  $15.07 //  $45.00 // 
12458 //  Superman //  $13.46 //  $41.05 //  $227.51 // 
9913 //  Swamp Thing //  $97.45 //  $276.65 //  $584.04 // 
19306 //  Sword Master //  $183.73 //  $285.52 //  $594.27 // 
12459 //  Swords and Serpents //  $8.40 //  $17.20 //  $71.01 // 
12462 //  Taboo the Sixth Sense //  $5.94 //  $16.04 //  $29.99 // 
12463 //  Tag Team Wrestling //  $3.61 //  $24.49 //  $72.88 // 
37994 //  Tag Team Wrestling [5 Screw] //  $5.43 //  $25.02 //  $80.06 // 
30846 //  "Tagin Dragon" //  $40.00 //  $82.02 //  $232.56 // 
12162 //  TaleSpin //  $11.55 //  $45.00 //  $243.25 // 
12465 //  Talking Super Jeopardy //  $4.55 //  $11.10 //  $34.80 // 
12466 //  Target Renegade //  $5.99 //  $25.00 //  $64.34 // 
12467 //  Tecmo Baseball //  $4.86 //  $13.77 //  $47.24 // 
9929 //  Tecmo Bowl //  $8.00 //  $18.99 //  $368.50 // 
9930 //  Tecmo Cup Soccer //  $50.77 //  $108.35 //  $251.53 // 
9931 //  Tecmo NBA Basketball //  $8.50 //  $13.50 //  $90.00 // 
9934 //  Tecmo Super Bowl //  $14.97 //  $34.61 //  $159.36 // 
9938 //  Tecmo World Wrestling //  $4.99 //  $23.56 //  $106.80 // 
9941 //  Teenage Mutant Ninja Turtles //  $6.35 //  $24.44 //  $280.77 // 
12468 //  Teenage Mutant Ninja Turtles II //  $11.00 //  $49.66 //  $277.58 // 
9942 //  Teenage Mutant Ninja Turtles III The Manhattan Project //  $21.96 //  $109.73 //  $339.89 // 
9944 //  Teenage Mutant Ninja Turtles Tournament Fighters //  $121.25 //  $399.99 //  $1279.97 // 
12011 //  Tennis //  $9.73 //  $39.89 //  $799.99 // 
37982 //  Tennis [5 Screw] //  $9.99 //  $32.94 //  $83.58 // 
9951 //  Terminator //  $20.77 //  $53.88 //  $172.42 // 
9953 //  Terminator 2 Judgment Day //  $6.43 //  $27.26 //  $121.51 // 
12469 //  Terra Cresta //  $33.07 //  $67.95 //  $143.54 // 
9964 //  Tetris //  $7.97 //  $17.99 //  $226.76 // 
9966 //  Tetris 2 //  $8.16 //  $16.49 //  $68.99 // 
12595 //  Tetris [Tengen] //  $60.37 //  $127.00 //  $394.04 // 
8471 //  The Adventures of Rocky and Bullwinkle and Friends //  $13.75 //  $31.20 //  $86.57 // 
12471 //  The Goonies II //  $6.78 //  $29.99 //  $106.93 // 
38040 //  The Goonies II [5 Screw] //  $21.99 //  $59.37 //  $182.52 // 
12472 //  The Guardian Legend //  $11.24 //  $49.99 //  $150.06 // 
9990 //  The Jungle Book //  $21.00 //  $68.00 //  $399.00 // 
12474 //  The Karate Kid //  $6.97 //  $29.23 //  $291.79 // 
12475 //  The Last Ninja //  $17.93 //  $46.72 //  $165.85 // 
12477 //  The Mafat Conspiracy //  $8.97 //  $24.22 //  $61.12 // 
12478 //  The Magic of Scheherazade //  $9.99 //  $42.91 //  $129.99 // 
9997 //  The Punisher //  $16.49 //  $59.99 //  $179.99 // 
9648 //  The Ren and Stimpy Show Buckeroos //  $16.13 //  $51.46 //  $149.99 // 
9677 //  The Rocketeer //  $7.64 //  $25.99 //  $89.99 // 
12479 //  The Simpsons Bart vs the Space Mutants //  $7.42 //  $23.62 //  $138.97 // 
12197 //  The Simpsons Bart vs the World //  $10.13 //  $25.85 //  $239.65 // 
9751 //  The Simpsons Bartman Meets Radioactive Man //  $14.09 //  $60.00 //  $192.49 // 
12480 //  The Three Stooges //  $8.07 //  $26.00 //  $123.33 // 
12482 //  The Uncanny X-Men //  $8.84 //  $42.71 //  $100.00 // 
10096 //  The Untouchables //  $14.76 //  $30.99 //  $87.78 // 
12484 //  Thunder and Lightning //  $11.14 //  $35.91 //  $162.50 // 
12485 //  Thunderbirds //  $11.85 //  $33.81 //  $125.04 // 
12486 //  Thundercade //  $6.44 //  $21.22 //  $75.46 // 
12487 //  Tiger-Heli //  $5.13 //  $17.49 //  $79.47 // 
38033 //  Tiger-Heli [5 Screw] //  $15.50 //  $29.70 //  $95.04 // 
12488 //  Tiles of Fate //  $15.73 //  $28.01 //  $67.91 // 
12489 //  Time Lord //  $6.74 //  $18.91 //  $55.50 // 
10020 //  Times of Lore //  $48.23 //  $128.50 //  $335.49 // 
10021 //  Tiny Toon Adventures //  $10.54 //  $37.03 //  $118.48 // 
10022 //  Tiny Toon Adventures 2 Trouble in Wackyland //  $11.72 //  $38.98 //  $128.50 // 
10024 //  Tiny Toon Adventures Cartoon Workshop //  $13.25 //  $29.95 //  $50.16 // 
12490 //  To the Earth //  $5.49 //  $13.29 //  $47.30 // 
12491 //  Toki //  $45.00 //  $88.49 //  $299.00 // 
10035 //  Tom and Jerry //  $9.95 //  $23.28 //  $125.81 // 
12492 //  Tombs and Treasure //  $17.84 //  $47.88 //  $153.11 // 
12493 //  "Toobin" //  $17.25 //  $19.99 //  $95.86 // 
12494 //  Top Gun //  $5.40 //  $22.25 //  $124.28 // 
10052 //  Top Gun The Second Mission //  $5.37 //  $14.64 //  $74.95 // 
38044 //  Top Gun [5 Screw] //  $6.87 //  $19.50 //  $62.40 // 
13883 //  Top Loading Nintendo NES Console //  $106.36 //  $277.42 //  $511.12 // 
12495 //  Top Players Tennis //  $4.00 //  $13.95 //  $39.38 // 
10053 //  Total Recall //  $6.63 //  $21.24 //  $89.50 // 
12496 //  Totally Rad //  $17.99 //  $42.84 //  $179.99 // 
12497 //  Touchdown Fever //  $15.29 //  $29.99 //  $111.22 // 
12483 //  "Town & Country II: Thrillas Surfari" //  $18.26 //  $62.95 //  $93.03 // 
12461 //  Town & Country Surf Designs: Wood and Water Rage //  $4.30 //  $20.00 //  $125.00 // 
10056 //  Toxic Crusaders //  $47.76 //  $147.99 //  $373.50 // 
12498 //  Track and Field //  $5.85 //  $24.12 //  $48.35 // 
12499 //  Track and Field II //  $5.78 //  $16.77 //  $53.66 // 
38005 //  Track and Field [5 Screw] //  $8.82 //  $59.95 //  $79.02 // 
10064 //  Treasure Master //  $12.88 //  $34.96 //  $151.82 // 
10068 //  Trog //  $11.99 //  $35.00 //  $106.51 // 
12500 //  Trojan //  $5.65 //  $40.96 //  $62.74 // 
38000 //  Trojan [5 Screw] //  $7.01 //  $47.27 //  $83.04 // 
12501 //  Trolls on Treasure Island //  $19.30 //  $56.57 //  $181.02 // 
12502 //  Twin Cobra //  $10.49 //  $29.33 //  $100.07 // 
67650 //  Twin Dragons //   //   //   // 
12503 //  Twin Eagle //  $8.73 //  $17.25 //  $50.45 // 
54274 //  UForce //  $19.49 //  $55.00 //  $161.79 // 
12504 //  Ultima Exodus //  $9.99 //  $24.75 //  $153.92 // 
12505 //  Ultima Quest of the Avatar //  $11.61 //  $29.87 //  $260.90 // 
10080 //  Ultima Warriors of Destiny //  $57.30 //  $111.99 //  $358.38 // 
10081 //  Ultimate Air Combat //  $29.23 //  $46.49 //  $119.99 // 
12506 //  Ultimate Basketball //  $5.61 //  $14.99 //  $44.32 // 
12507 //  Ultimate League Soccer //  $19.13 //  $63.51 //  $177.50 // 
12481 //  Ultimate Stuntman //  $10.00 //  $20.43 //  $53.59 // 
10090 //  Uncharted Waters //  $48.27 //  $102.75 //  $198.17 // 
10091 //  Uninvited //  $40.78 //  $79.13 //  $233.50 // 
12012 //  Urban Champion //  $9.73 //  $104.99 //  $433.00 // 
37989 //  Urban Champion [5 Screw] //  $9.50 //  $124.06 //  $124.97 // 
12508 //  Vegas Dream //  $5.00 //  $12.99 //  $52.11 // 
12509 //  Venice Beach Volleyball //  $9.98 //  $33.74 //  $69.50 // 
12510 //  Vice Project Doom //  $38.52 //  $99.48 //  $241.85 // 
10105 //  Videomation //  $8.57 //  $30.63 //  $66.89 // 
12511 //  Vindicators //  $6.22 //  $20.01 //  $39.99 // 
12013 //  Volleyball //  $10.37 //  $111.36 //  $447.13 // 
38003 //  Volleyball [5 Screw] //  $9.00 //  $101.62 //  $149.80 // 
12512 //  WCW World Championship Wrestling //  $7.80 //  $31.53 //  $259.24 // 
10214 //  WWF King of the Ring //  $13.99 //  $46.11 //  $162.50 // 
10221 //  WWF Wrestlemania //  $3.99 //  $24.84 //  $304.82 // 
13833 //  WWF Wrestlemania Challenge //  $6.45 //  $23.99 //  $75.65 // 
10218 //  WWF Wrestlemania Steel Cage Challenge //  $8.00 //  $26.39 //  $63.50 // 
10132 //  Wacky Races //  $180.00 //  $396.71 //  $844.51 // 
10133 //  Wall Street Kid //  $8.18 //  $20.94 //  $69.00 // 
12513 //  Wally Bear and the No Gang //  $41.00 //  $94.62 //  $228.86 // 
10138 //  "Warios Woods" //  $23.40 //  $37.46 //  $99.74 // 
12514 //  Wayne Gretzky Hockey //  $7.60 //  $14.28 //  $74.62 // 
10146 //  "Waynes World" //  $107.94 //  $314.69 //  $772.82 // 
12515 //  Werewolf //  $11.35 //  $34.49 //  $113.09 // 
12517 //  Wheel of Fortune //  $2.17 //  $13.56 //  $50.50 // 
12516 //  Wheel of Fortune Family Edition //  $5.04 //  $10.05 //  $34.28 // 
10149 //  Wheel of Fortune Featuring Vanna White //  $8.00 //  $13.85 //  $56.37 // 
12518 //  Wheel of Fortune Junior Edition //  $4.12 //  $11.12 //  $85.94 // 
10152 //  Where in Time is Carmen Sandiego //  $7.53 //  $23.82 //  $71.00 // 
12519 //  "Wheres Waldo" //  $7.93 //  $24.99 //  $61.11 // 
12520 //  Who Framed Roger Rabbit //  $8.99 //  $29.79 //  $230.51 // 
12521 //  "Whomp Em" //  $35.50 //  $84.73 //  $292.82 // 
10154 //  Widget //  $38.24 //  $111.85 //  $294.77 // 
12522 //  Wild Gunman //  $21.95 //  $74.89 //  $182.19 // 
37974 //  Wild Gunman [5 Screw] //  $16.61 //  $132.49 //  $154.08 // 
12523 //  Willow //  $11.35 //  $37.00 //  $151.67 // 
12524 //  Win Lose or Draw //  $4.38 //  $12.55 //  $31.19 // 
12525 //  Winter Games //  $5.00 //  $15.65 //  $41.29 // 
38034 //  Winter Games [5 Screw] //  $7.21 //  $29.99 //  $60.92 // 
10166 //  Wizardry: Knight of Diamonds Second Scenario //  $23.41 //  $44.23 //  $179.93 // 
19592 //  Wizardry: Proving Grounds of the Mad Overlord //  $10.35 //  $32.49 //  $134.99 // 
12528 //  Wizards and Warriors //  $7.63 //  $22.49 //  $245.72 // 
10167 //  Wizards and Warriors III Kuros Visions of Power //  $19.50 //  $47.17 //  $140.43 // 
38046 //  Wizards and Warriors [5 Screw] //  $9.41 //  $27.49 //  $80.51 // 
10169 //  Wolverine //  $14.18 //  $71.69 //  $218.90 // 
10172 //  World Champ //  $28.58 //  $80.09 //  $166.60 // 
12530 //  World Class Track Meet //  $4.26 //  $10.48 //  $33.47 // 
12532 //  World Games //  $5.52 //  $16.18 //  $59.40 // 
12533 //  Wrath of the Black Manta //  $4.81 //  $18.83 //  $52.18 // 
12014 //  Wrecking Crew //  $13.80 //  $91.50 //  $733.33 // 
37975 //  Wrecking Crew [5 Screw] //  $13.66 //  $99.99 //  $163.87 // 
10208 //  Wurm Journey to the Center of the Earth //  $24.53 //  $46.25 //  $89.99 // 
12534 //  Xenophobe //  $5.97 //  $15.54 //  $54.31 // 
12015 //  Xevious //  $4.64 //  $17.99 //  $65.00 // 
12535 //  Xexyz //  $11.39 //  $38.70 //  $114.24 // 
12536 //  Yo Noid //  $11.99 //  $42.32 //  $221.17 // 
10228 //  Yoshi //  $7.34 //  $17.74 //  $62.00 // 
10229 //  "Yoshis Cookie" //  $9.11 //  $18.86 //  $149.95 // 
10230 //  Young Indiana Jones Chronicles //  $49.60 //  $90.00 //  $125.00 // 
12016 //  Zanac //  $11.97 //  $40.00 //  $121.40 // 
38038 //  Zanac [5 Screw] //  $19.99 //  $55.00 //  $176.00 // 
13716 //  Zapper Light Gun //  $11.01 //  $37.31 //  $105.38 // 
10234 //  Zelda II The Adventure of Link //  $12.71 //  $55.42 //  $387.81 // 
38510 //  Zelda II The Adventure of Link [Gray Cart] //  $13.83 //  $54.94 //  $224.02 // 
20786 //  Zelda Test Cartridge //  $1305.96 //   //   // 
10236 //  Zen Intergalactic Ninja //  $74.76 //  $179.99 //  $756.01 // 
10239 //  Zombie Nation //  $292.88 //  $575.01 //  $1495.49 // 
